school,state,school_id,district_id,schoolwide_title1,title1_eligible,title1_school_status,lat,long,national_school_lunch_program,total_enroll,two_or_more_race,hawaiin_pi,white,black,hispanic,aapi,native
METTER CAREER ACADEMY,GEORGIA,1.30081E+11,1300810,No,Yes,2-Title I targeted assistance school,32.364481,-82.050373,Yes under Community Eligibility Option (CEO),243,6,0,93,91,53,0,0
METTER ELEMENTARY SCHOOL,Georgia,1.30081E+11,1300810,Yes,Yes,5-Title I schoolwide school,32.400174,-82.048552,Yes under Community Eligibility Option (CEO),1048,53,0,470,293,226,6,0
METTER HIGH SCHOOL,Georgia,1.30081E+11,1300810,Yes,Yes,5-Title I schoolwide school,32.364481,-82.050373,Yes under Community Eligibility Option (CEO),398,2,3,194,122,73,4,0
METTER MIDDLE SCHOOL,Georgia,1.30081E+11,1300810,Yes,Yes,5-Title I schoolwide school,32.362092,-82.05114,Yes under Community Eligibility Option (CEO),527,18,0,231,162,114,2,0
MICHAEL R. HOLLIS INNOVATION ACADEMY,GEORGIA,1.30012E+11,1300120,Yes,Yes,5-Title I schoolwide school,33.76076,-84.41205,Yes under Community Eligibility Option (CEO),754,7,1,1,716,24,4,1
MIDDLE RIDGE ELEMENTARY SCHOOL,Georgia,1.30393E+11,1303930,Yes,Yes,5-Title I schoolwide school,33.562498,-83.874877,No,626,45,0,96,421,61,3,0
MIDLAND ACADEMY,Georgia,1.30387E+11,1303870,,No,6-Not a Title I school,32.5556,-84.8653,Yes under Community Eligibility Option (CEO),609,42,1,157,245,103,59,2
MIDLAND MIDDLE SCHOOL,Georgia,1.30387E+11,1303870,Yes,Yes,5-Title I schoolwide school,32.5539,-84.8673,Yes under Community Eligibility Option (CEO),475,30,2,104,291,45,3,0
MIDVALE ELEMENTARY SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.8567,-84.235,Yes participating without using any Provision or the CEO,397,17,0,91,166,106,16,1
MIDWAY ELEMENTARY SCHOOL,Georgia,1.30222E+11,1302220,,No,6-Not a Title I school,34.1581,-84.2341,Yes participating without using any Provision or the CEO,892,27,0,249,58,117,431,10
MIDWAY ELEMENTARY SCHOOL,Georgia,1.30414E+11,1304140,Yes,Yes,5-Title I schoolwide school,31.250136,-82.264094,No,473,21,0,385,9,54,3,1
MIDWAY HILLS ACADEMY,GEORGIA,1.30021E+11,1300210,Yes,Yes,5-Title I schoolwide school,33.018706,-83.226599,Yes under Community Eligibility Option (CEO),479,33,2,107,333,2,2,0
MIDWAY HILLS PRIMARY,GEORGIA,1.30021E+11,1300210,Yes,Yes,5-Title I schoolwide school,33.079944,-83.271658,Yes under Community Eligibility Option (CEO),518,31,2,170,307,6,1,1
MIDWAY MIDDLE SCHOOL,Georgia,1.3033E+11,1303300,Yes,Yes,5-Title I schoolwide school,31.804781,-81.452528,No,789,73,2,286,342,82,3,1
MILES ELEMENTARY SCHOOL,Georgia,1.30012E+11,1300120,Yes,Yes,5-Title I schoolwide school,33.7557,-84.5259,Yes under Community Eligibility Option (CEO),526,2,1,0,480,40,2,1
MILFORD ELEMENTARY SCHOOL,Georgia,1.30129E+11,1301290,Yes,Yes,5-Title I schoolwide school,33.8953,-84.5779,Yes participating without using any Provision or the CEO,347,9,0,19,101,216,2,0
MILL CREEK ELEMENTARY SCHOOL,Georgia,1.30063E+11,1300630,Yes,Yes,5-Title I schoolwide school,32.4537,-81.7465,No,579,29,2,191,307,37,10,3
MILL CREEK HIGH SCHOOL,Georgia,1.30255E+11,1302550,,No,6-Not a Title I school,34.0791,-83.8783,Yes participating without using any Provision or the CEO,3742,180,3,1847,748,598,359,7
MILL CREEK MIDDLE SCHOOL,Georgia,1.30111E+11,1301110,,No,6-Not a Title I school,34.117552,-84.478902,Yes participating without using any Provision or the CEO,1393,68,0,903,100,278,44,0
MILLEGEVILLE ITU,GEORGIA,1.30003E+11,1300026,Yes,Yes,5-Title I schoolwide school,33.086642,-83.25378,Yes participating without using any Provision or the CEO,16,0,0,2,13,1,0,0
MILLER COUNTY ELEMENTARY SCHOOL,Georgia,1.30366E+11,1303660,Yes,Yes,5-Title I schoolwide school,31.191268,-84.712842,Yes under Community Eligibility Option (CEO),346,10,0,175,148,11,2,0
MILLER COUNTY HIGH SCHOOL,Georgia,1.30366E+11,1303660,Yes,Yes,5-Title I schoolwide school,31.191268,-84.712842,Yes under Community Eligibility Option (CEO),255,5,0,135,104,11,0,0
MILLER COUNTY MIDDLE SCHOOL,Georgia,1.30366E+11,1303660,Yes,Yes,5-Title I schoolwide school,31.191268,-84.712842,Yes under Community Eligibility Option (CEO),176,4,0,81,80,9,2,0
MILLER ELEMENTARY SCHOOL,Georgia,1.30288E+11,1302880,Yes,Yes,5-Title I schoolwide school,32.6153,-83.6385,Yes under Community Eligibility Option (CEO),483,45,0,114,258,61,5,0
MILLER GROVE HIGH SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.7097,-84.149,Yes participating without using any Provision or the CEO,1239,30,2,4,1157,36,6,4
MILLER GROVE MIDDLE SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.7239,-84.1835,Yes under Community Eligibility Option (CEO),788,12,1,2,746,24,2,1
MILLER MAGNET MIDDLE SCHOOL,Georgia,1.30042E+11,1300420,Yes,Yes,5-Title I schoolwide school,32.8389,-83.6581,Yes under Community Eligibility Option (CEO),563,14,0,35,490,17,7,0
MILTON HIGH SCHOOL,Georgia,1.30228E+11,1302280,,No,6-Not a Title I school,34.0995,-84.3364,Yes participating without using any Provision or the CEO,2271,84,6,1366,218,301,296,0
MIMOSA ELEMENTARY SCHOOL,Georgia,1.30228E+11,1302280,Yes,Yes,5-Title I schoolwide school,34.0364,-84.3316,Yes participating without using any Provision or the CEO,664,14,0,29,84,529,8,0
MINOR ELEMENTARY SCHOOL,Georgia,1.30255E+11,1302550,Yes,Yes,5-Title I schoolwide school,33.9177,-84.1291,Yes participating without using any Provision or the CEO,920,17,1,51,219,540,89,3
MIRROR LAKE ELEMENTARY SCHOOL,Georgia,1.30186E+11,1301860,,No,6-Not a Title I school,33.7346,-84.8788,Yes participating without using any Provision or the CEO,498,40,2,119,252,60,24,1
MISSION ROAD ELEMENTARY SCHOOL,Georgia,1.30033E+11,1300330,Yes,Yes,5-Title I schoolwide school,34.1621,-84.8796,Yes participating without using any Provision or the CEO,440,23,0,311,36,66,2,2
MITCHELL COUNTY ELEMENTARY SCHOOL,Georgia,1.30369E+11,1303690,Yes,Yes,5-Title I schoolwide school,31.378276,-84.139555,Yes under Community Eligibility Option (CEO),278,3,0,19,234,20,2,0
MITCHELL COUNTY HIGH SCHOOL,Georgia,1.30369E+11,1303690,Yes,Yes,5-Title I schoolwide school,31.243812,-84.239515,Yes under Community Eligibility Option (CEO),449,12,0,32,370,35,0,0
MITCHELL COUNTY MIDDLE SCHOOL,Georgia,1.30369E+11,1303690,Yes,Yes,5-Title I schoolwide school,31.240276,-84.237065,Yes under Community Eligibility Option (CEO),319,3,0,25,266,25,0,0
MITCHELL COUNTY PRIMARY SCHOOL,Georgia,1.30369E+11,1303690,Yes,Yes,5-Title I schoolwide school,31.239518,-84.233929,Yes under Community Eligibility Option (CEO),259,4,0,22,208,24,1,0
MODEL ELEMENTARY SCHOOL,Georgia,1.30219E+11,1302190,Yes,Yes,5-Title I schoolwide school,34.308,-85.0992,Yes participating without using any Provision or the CEO,531,10,0,466,21,33,1,0
MODEL HIGH,Georgia,1.30219E+11,1302190,,No,6-Not a Title I school,34.31,-85.099,Yes participating without using any Provision or the CEO,923,20,0,795,55,47,5,1
MODEL MIDDLE SCHOOL,Georgia,1.30219E+11,1302190,,No,6-Not a Title I school,34.307,-85.0954,Yes participating without using any Provision or the CEO,343,10,1,288,22,21,1,0
MONROE AREA HIGH SCHOOL,Georgia,1.30539E+11,1305390,Yes,Yes,5-Title I schoolwide school,33.8191,-83.736,Yes participating without using any Provision or the CEO,1007,42,2,501,353,72,31,6
MONROE COUNTY MIDDLE SCHOOL- BANKS STEPHENS CAMPUS,Georgia,1.30372E+11,1303720,Yes,Yes,5-Title I schoolwide school,33.012548,-83.916511,Yes participating without using any Provision or the CEO,901,33,0,614,214,29,9,2
MONROE ELEMENTARY,Georgia,1.30539E+11,1305390,Yes,Yes,5-Title I schoolwide school,33.8228,-83.7369,Yes participating without using any Provision or the CEO,523,26,4,183,231,54,24,1
MONROE HIGH SCHOOL,Georgia,1.30183E+11,1301830,Yes,Yes,5-Title I schoolwide school,31.558062,-84.170048,Yes under Community Eligibility Option (CEO),1090,10,0,19,1036,22,2,1
MONTCLAIR ELEMENTARY SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.8477,-84.32,Yes under Community Eligibility Option (CEO),641,4,1,2,45,583,4,2
MONTE SANO ELEMENTARY SCHOOL,Georgia,1.30438E+11,1304380,Yes,Yes,5-Title I schoolwide school,33.468324,-82.015686,Yes under Community Eligibility Option (CEO),375,16,0,28,315,14,1,1
MONTGOMERY COUNTY ELEMENTARY SCHOOL,Georgia,1.30375E+11,1303750,Yes,Yes,5-Title I schoolwide school,32.193625,-82.579728,Yes under Community Eligibility Option (CEO),431,23,0,205,126,72,4,1
MONTGOMERY COUNTY HIGH SCHOOL,Georgia,1.30375E+11,1303750,Yes,Yes,5-Title I schoolwide school,32.18244,-82.582295,Yes under Community Eligibility Option (CEO),264,4,0,139,80,39,2,0
MONTGOMERY COUNTY MIDDLE SCHOOL,Georgia,1.30375E+11,1303750,Yes,Yes,5-Title I schoolwide school,32.18244,-82.582295,Yes under Community Eligibility Option (CEO),221,15,0,104,66,33,3,0
MONTGOMERY ELEMENTARY SCHOOL,Georgia,1.30174E+11,1301740,,No,6-Not a Title I school,33.9097,-84.3323,Yes participating without using any Provision or the CEO,707,56,0,409,105,57,78,2
MOORE ELEMENTARY SCHOOL,Georgia,1.30252E+11,1302520,Yes,Yes,5-Title I schoolwide school,33.2579,-84.2612,Yes under Provision 2,379,14,1,6,337,21,0,0
MOORE MIDDLE SCHOOL,Georgia,1.30255E+11,1302550,Yes,Yes,5-Title I schoolwide school,33.9395,-84.0215,Yes participating without using any Provision or the CEO,973,38,0,99,366,406,61,3
MOORE STREET FACILITY,Georgia,1.30187E+11,1301870,Yes,Yes,5-Title I schoolwide school,32.539286,-82.927015,Yes under Community Eligibility Option (CEO),46,2,0,2,41,1,0,0
MORELAND ELEMENTARY SCHOOL,Georgia,1.3015E+11,1301500,Yes,Yes,5-Title I schoolwide school,33.2843,-84.7683,Yes participating without using any Provision or the CEO,456,17,1,343,45,47,3,0
MORELAND ROAD ELEMENTARY,Georgia,1.30252E+11,1302520,Yes,Yes,5-Title I schoolwide school,33.196,-84.3003,Yes participating without using any Provision or the CEO,453,31,0,169,204,40,6,3
MORGAN COUNTY ELEMENTARY SCHOOL,Georgia,1.30378E+11,1303780,Yes,Yes,5-Title I schoolwide school,33.5944,-83.4467,Yes participating without using any Provision or the CEO,691,35,0,457,142,54,1,2
MORGAN COUNTY HIGH SCHOOL,Georgia,1.30378E+11,1303780,,No,6-Not a Title I school,33.599542,-83.449301,Yes participating without using any Provision or the CEO,1004,28,0,654,237,71,12,2
MORGAN COUNTY MIDDLE SCHOOL,Georgia,1.30378E+11,1303780,,No,6-Not a Title I school,33.597603,-83.450972,Yes participating without using any Provision or the CEO,777,29,0,486,202,45,6,9
MORGAN COUNTY PRIMARY SCHOOL,Georgia,1.30378E+11,1303780,Yes,Yes,5-Title I schoolwide school,33.596,-83.4553,Yes participating without using any Provision or the CEO,770,39,0,506,168,48,5,4
MORNINGSIDE ELEMENTARY SCHOOL,Georgia,1.30288E+11,1302880,Yes,Yes,5-Title I schoolwide school,32.4643,-83.7105,Yes under Community Eligibility Option (CEO),464,31,0,113,299,19,2,0
MORNINGSIDE ELEMENTARY SCHOOL,Georgia,1.30012E+11,1300120,,No,6-Not a Title I school,33.782459,-84.362446,Yes participating without using any Provision or the CEO,846,71,0,556,79,77,63,0
MORNINGSIDE ELEMENTARY SCHOOL,Georgia,1.30183E+11,1301830,Yes,Yes,5-Title I schoolwide school,31.5512,-84.1332,Yes under Community Eligibility Option (CEO),331,7,0,11,301,11,1,0
MORNINGSTAR TREATMENT SERVICES- INC. YOUTH ESTATE,Georgia,1.3024E+11,1302400,No,Yes,2-Title I targeted assistance school,31.314296,-81.472007,No,45,1,0,24,19,1,0,0
MORRIS INNOVATIVE HIGH SCHOOL,Georgia,1.30162E+11,1301620,Yes,Yes,5-Title I schoolwide school,34.772222,-84.963144,Yes under Provision 2,259,7,0,23,14,212,0,3
MORROW ELEMENTARY SCHOOL,Georgia,1.30123E+11,1301230,Yes,Yes,5-Title I schoolwide school,33.5883,-84.3417,Yes under Community Eligibility Option (CEO),504,18,0,6,239,160,78,3
MORROW HIGH SCHOOL,Georgia,1.30123E+11,1301230,Yes,Yes,5-Title I schoolwide school,33.593315,-84.314666,Yes under Community Eligibility Option (CEO),1784,41,0,32,1165,336,206,4
MORROW MIDDLE SCHOOL,Georgia,1.30123E+11,1301230,Yes,Yes,5-Title I schoolwide school,33.593795,-84.320031,Yes under Community Eligibility Option (CEO),929,18,0,14,560,250,87,0
MOSSY CREEK ELEMENTARY SCHOOL,Georgia,1.30567E+11,1305670,Yes,Yes,5-Title I schoolwide school,34.540053,-83.756853,No,377,13,0,333,3,28,0,0
MOSSY CREEK MIDDLE SCHOOL,Georgia,1.30288E+11,1302880,,No,6-Not a Title I school,32.533714,-83.700638,Yes participating without using any Provision or the CEO,785,47,0,455,194,62,25,2
MOULTON-BRANCH ELEMENTARY SCHOOL,Georgia,1.30339E+11,1303390,Yes,Yes,5-Title I schoolwide school,30.816612,-83.229948,Yes under Community Eligibility Option (CEO),560,21,0,315,125,98,1,0
MOUNT BETHEL ELEMENTARY SCHOOL,Georgia,1.30129E+11,1301290,,No,6-Not a Title I school,33.9798,-84.4177,Yes participating without using any Provision or the CEO,962,37,0,688,15,53,168,1
MOUNT CARMEL ELEMENTARY SCHOOL,Georgia,1.30282E+11,1302820,Yes,Yes,5-Title I schoolwide school,33.4407,-84.2677,Yes participating without using any Provision or the CEO,599,26,0,126,350,89,5,3
MOUNT CARMEL ELEMENTARY SCHOOL,Georgia,1.30186E+11,1301860,,No,6-Not a Title I school,33.7408,-84.6834,Yes participating without using any Provision or the CEO,420,25,1,50,252,83,7,2
MOUNT VERNON ELEMENTARY SCHOOL,Georgia,1.30261E+11,1302610,,No,6-Not a Title I school,34.4207,-83.8399,Yes participating without using any Provision or the CEO,609,24,0,520,14,48,3,0
MOUNT YONAH ELEMENTARY SCHOOL,Georgia,1.30567E+11,1305670,Yes,Yes,5-Title I schoolwide school,34.6573,-83.6991,No,407,31,0,361,2,12,1,0
MOUNT ZION ELEMENTARY SCHOOL,Georgia,1.30123E+11,1301230,Yes,Yes,5-Title I schoolwide school,33.5559,-84.2933,Yes under Community Eligibility Option (CEO),508,19,1,13,344,120,10,1
MOUNT ZION ELEMENTARY SCHOOL,Georgia,1.30084E+11,1300840,Yes,Yes,5-Title I schoolwide school,33.602445,-85.149087,Yes participating without using any Provision or the CEO,678,42,0,465,54,113,4,0
MOUNT ZION HIGH SCHOOL,Georgia,1.30123E+11,1301230,Yes,Yes,5-Title I schoolwide school,33.5545,-84.3105,Yes under Community Eligibility Option (CEO),1335,38,0,24,943,284,43,3
MOUNT ZION PRIMARY,Georgia,1.30123E+11,1301230,Yes,Yes,5-Title I schoolwide school,33.55641,-84.294946,Yes under Community Eligibility Option (CEO),564,20,0,10,423,100,11,0
MOUNTAIN EDUCATION CHARTER HIGH SCHOOL,Georgia,1.30021E+11,1300214,Yes,Yes,5-Title I schoolwide school,34.644434,-83.736575,Yes participating without using any Provision or the CEO,2385,96,1,1794,100,366,16,12
MOUNTAIN PARK ELEMENTARY SCHOOL,Georgia,1.30255E+11,1302550,,No,6-Not a Title I school,33.8402,-84.1151,Yes participating without using any Provision or the CEO,619,37,1,164,166,118,133,0
MOUNTAIN PARK ELEMENTARY SCHOOL,Georgia,1.30228E+11,1302280,,No,6-Not a Title I school,34.0713,-84.4044,Yes participating without using any Provision or the CEO,741,34,1,554,46,78,28,0
MOUNTAIN ROAD ELEMENTARY SCHOOL,Georgia,1.30111E+11,1301110,,No,6-Not a Title I school,34.139,-84.4067,Yes participating without using any Provision or the CEO,391,23,0,282,31,39,16,0
MOUNTAIN VIEW ELEMENTARY,Georgia,1.30234E+11,1302340,Yes,Yes,5-Title I schoolwide school,34.6822,-84.5041,No,642,5,0,399,5,233,0,0
MOUNTAIN VIEW ELEMENTARY SCHOOL,Georgia,1.30363E+11,1303630,Yes,Yes,5-Title I schoolwide school,32.8822,-84.6469,Yes under Community Eligibility Option (CEO),715,48,0,245,388,25,8,1
MOUNTAIN VIEW ELEMENTARY SCHOOL,Georgia,1.30129E+11,1301290,,No,6-Not a Title I school,34.028958,-84.472682,Yes participating without using any Provision or the CEO,775,50,2,465,53,93,111,1
MOUNTAIN VIEW HIGH SCHOOL,Georgia,1.30255E+11,1302550,,No,6-Not a Title I school,34.0519,-83.9515,Yes participating without using any Provision or the CEO,2742,100,4,865,816,644,306,7
MT. ZION HIGH SCHOOL,Georgia,1.30084E+11,1300840,,No,6-Not a Title I school,33.60229,-85.156415,Yes participating without using any Provision or the CEO,429,27,0,312,29,58,2,1
MT. ZION MIDDLE SCHOOL,Georgia,1.30084E+11,1300840,Yes,Yes,5-Title I schoolwide school,33.63775,-85.184213,Yes participating without using any Provision or the CEO,349,24,0,231,37,55,2,0
MULBERRY CREEK ELEMENTARY SCHOOL,Georgia,1.3027E+11,1302700,,No,6-Not a Title I school,32.676007,-84.918258,Yes participating without using any Provision or the CEO,526,20,0,411,45,45,3,2
MULBERRY ELEMENTARY SCHOOL,Georgia,1.30255E+11,1302550,,No,6-Not a Title I school,34.0316,-83.8633,Yes participating without using any Provision or the CEO,688,54,0,258,225,125,26,0
MUNDY MILL ACADEMY,GEORGIA,1.30231E+11,1302310,Yes,Yes,5-Title I schoolwide school,34.247998,-83.872994,Yes under Provision 2,606,21,0,59,74,409,43,0
MUNDY'S MILL HIGH SCHOOL,Georgia,1.30123E+11,1301230,Yes,Yes,5-Title I schoolwide school,33.4912,-84.3839,Yes under Community Eligibility Option (CEO),1704,39,1,20,1381,239,22,2
MUNDYS MILL MIDDLE SCHOOL,Georgia,1.30123E+11,1301230,Yes,Yes,5-Title I schoolwide school,33.4871,-84.3511,Yes under Community Eligibility Option (CEO),755,17,2,17,580,119,18,2
MURDOCK ELEMENTARY SCHOOL,Georgia,1.30129E+11,1301290,,No,6-Not a Title I school,34.0069,-84.4623,Yes participating without using any Provision or the CEO,915,40,1,555,59,75,179,6
MURPHEY CANDLER ELEMENTARY SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.651,-84.1274,Yes under Community Eligibility Option (CEO),505,8,1,5,471,18,0,2
MURPHEY MIDDLE SCHOOL,Georgia,1.30438E+11,1304380,Yes,Yes,5-Title I schoolwide school,33.45527,-82.000298,Yes under Community Eligibility Option (CEO),837,18,0,38,717,62,1,1
MURRAY COUNTY HIGH SCHOOL,Georgia,1.30384E+11,1303840,Yes,Yes,5-Title I schoolwide school,34.7778,-84.786,Yes participating without using any Provision or the CEO,1078,11,2,757,3,293,5,7
MUSCOGEE YOUTH DEVELOPMENT CENTER,Georgia,1.30003E+11,1300026,Yes,Yes,5-Title I schoolwide school,32.526671,-84.853919,Yes participating without using any Provision or the CEO,51,0,1,14,33,3,0,0
MUSEUM SCHOOL AVONDALE ESTATES,Georgia,1.30174E+11,1301740,,No,6-Not a Title I school,33.768903,-84.271127,Yes participating without using any Provision or the CEO,589,31,1,309,187,43,18,0
MYERS ELEMENTARY SCHOOL,Georgia,1.30261E+11,1302610,Yes,Yes,5-Title I schoolwide school,34.2096,-83.7839,Yes participating without using any Provision or the CEO,579,8,1,96,29,438,6,1
MYERS MIDDLE SCHOOL,Georgia,1.30102E+11,1301020,Yes,Yes,5-Title I schoolwide school,32.0324,-81.0697,No,598,18,4,35,502,31,7,1
NAHUNTA ELEMENTARY SCHOOL,Georgia,1.30048E+11,1300480,Yes,Yes,5-Title I schoolwide school,31.192894,-81.98469,Yes under Community Eligibility Option (CEO),279,7,1,256,9,4,1,1
NAHUNTA PRIMARY SCHOOL,Georgia,1.30048E+11,1300480,Yes,Yes,5-Title I schoolwide school,31.192792,-81.98373,Yes under Community Eligibility Option (CEO),418,11,0,382,14,10,1,0
NAOMI ELEMENTARY SCHOOL,Georgia,1.30537E+11,1305370,Yes,Yes,5-Title I schoolwide school,34.6928,-85.2126,Yes participating without using any Provision or the CEO,301,16,0,263,7,8,5,2
NARVIE HARRIS ELEMENTARY SCHOOL,Georgia,1.30174E+11,1301740,Yes,Yes,5-Title I schoolwide school,33.6668,-84.2266,Yes participating without using any Provision or the CEO,669,6,0,2,642,15,1,3
NEBO ELEMENTARY SCHOOL,Georgia,1.30402E+11,1304020,No,Yes,2-Title I targeted assistance school,33.8368,-84.8388,Yes participating without using any Provision or the CEO,599,29,0,394,96,80,0,0
NEEDWOOD MIDDLE SCHOOL,Georgia,1.3024E+11,1302400,Yes,Yes,5-Title I schoolwide school,31.2777,-81.4668,No,701,36,4,252,280,112,15,2
NESBIT ELEMENTARY SCHOOL,Georgia,1.30255E+11,1302550,Yes,Yes,5-Title I schoolwide school,33.8761,-84.1991,Yes participating without using any Provision or the CEO,1158,15,0,34,202,854,47,6
NEVILS ELEMENTARY SCHOOL,Georgia,1.30063E+11,1300630,Yes,Yes,5-Title I schoolwide school,32.2683,-81.759619,No,478,15,0,358,61,39,4,1
NEW BEGINNING LEARNING CENTER,GEORGIA,1.30171E+11,1301710,Yes,Yes,5-Title I schoolwide school,30.898114,-84.556545,Yes under Community Eligibility Option (CEO),83,1,0,21,49,12,0,0
NEW GEORGIA ELEMENTARY SCHOOL,Georgia,1.30402E+11,1304020,No,Yes,2-Title I targeted assistance school,33.811,-84.8957,Yes participating without using any Provision or the CEO,360,18,0,249,58,29,5,1
NEW HAMPSTEAD HIGH SCHOOL,Georgia,1.30102E+11,1301020,,No,6-Not a Title I school,32.0749,-81.3203,No,1268,81,2,318,603,200,59,5
NEW HOLLAND CORE KNOWLEDGE ACADEMY,Georgia,1.30231E+11,1302310,Yes,Yes,5-Title I schoolwide school,34.304693,-83.808232,Yes under Provision 2,569,21,0,36,139,369,4,0
NEW HOPE ELEMENTARY,Georgia,1.30282E+11,1302820,,No,6-Not a Title I school,33.401372,-84.024548,Yes participating without using any Provision or the CEO,687,33,1,452,121,72,6,2
NEW HOPE ELEMENTARY SCHOOL,Georgia,1.3057E+11,1305700,Yes,Yes,5-Title I schoolwide school,34.873273,-84.985761,Yes participating without using any Provision or the CEO,536,24,0,335,9,163,4,1
NEW HOPE MIDDLE SCHOOL,Georgia,1.3057E+11,1305700,Yes,Yes,5-Title I schoolwide school,34.87697,-84.98456,Yes participating without using any Provision or the CEO,549,27,0,267,7,240,6,2
NEW LIFE ACADEMY OF EXCELLENCE,Georgia,1.30255E+11,1302550,,No,6-Not a Title I school,34.01329,-84.170711,Yes participating without using any Provision or the CEO,586,29,0,24,387,128,17,1
NEW MANCHESTER ELEMENTARY SCHOOL,Georgia,1.30186E+11,1301860,,No,6-Not a Title I school,33.7066,-84.6498,Yes participating without using any Provision or the CEO,760,34,0,39,598,83,5,1
NEW MANCHESTER HIGH SCHOOL,Georgia,1.30186E+11,1301860,,No,6-Not a Title I school,33.676271,-84.666555,Yes participating without using any Provision or the CEO,1727,61,1,94,1348,211,8,4
NEW MOUNTAIN HILL ELEMENTARY SCHOOL,Georgia,1.3027E+11,1302700,,No,6-Not a Title I school,32.697081,-85.025167,Yes participating without using any Provision or the CEO,494,38,0,378,31,44,1,2
NEW PROSPECT ELEMENTARY SCHOOL,Georgia,1.30228E+11,1302280,,No,6-Not a Title I school,34.0516,-84.2742,Yes participating without using any Provision or the CEO,494,33,0,165,52,72,169,3
NEWBERN MIDDLE SCHOOL,Georgia,1.30531E+11,1305310,Yes,Yes,5-Title I schoolwide school,30.86541,-83.250712,Yes under Community Eligibility Option (CEO),938,16,0,23,817,80,0,2
NEWNAN CROSSING ELEMENTARY SCHOOL,Georgia,1.3015E+11,1301500,Yes,Yes,5-Title I schoolwide school,33.3767,-84.7484,Yes participating without using any Provision or the CEO,782,68,2,288,243,93,86,2
NEWNAN HIGH SCHOOL,Georgia,1.3015E+11,1301500,Yes,Yes,5-Title I schoolwide school,33.3644,-84.8108,Yes participating without using any Provision or the CEO,2316,100,3,1354,633,192,27,7
NEWTON COUNTY THEME SCHOOL AT FICQUETT,Georgia,1.30393E+11,1303930,,No,6-Not a Title I school,33.599626,-83.854732,Yes participating without using any Provision or the CEO,927,51,1,482,335,47,11,0
NEWTON HIGH SCHOOL,Georgia,1.30393E+11,1303930,Yes,Yes,5-Title I schoolwide school,33.5978,-83.9264,No,2481,99,7,184,1918,244,26,3
NICHOLLS ELEMENTARY SCHOOL,Georgia,1.30135E+11,1301350,Yes,Yes,5-Title I schoolwide school,31.516971,-82.637028,Yes under Community Eligibility Option (CEO),313,21,0,195,63,33,0,1
NICHOLSON ELEMENTARY SCHOOL,Georgia,1.30129E+11,1301290,,No,6-Not a Title I school,34.052,-84.505,Yes participating without using any Provision or the CEO,435,30,0,236,62,101,5,1
NICKAJACK ELEMENTARY SCHOOL,Georgia,1.30129E+11,1301290,,No,6-Not a Title I school,33.8437,-84.5159,Yes participating without using any Provision or the CEO,1131,84,0,269,619,108,46,5
NOLAN ELEMENTARY SCHOOL,Georgia,1.30228E+11,1302280,Yes,Yes,5-Title I schoolwide school,33.5723,-84.4806,Yes under Community Eligibility Option (CEO),681,15,0,0,634,30,2,0
NORCROSS ELEMENTARY SCHOOL,Georgia,1.30255E+11,1302550,Yes,Yes,5-Title I schoolwide school,33.9457,-84.2068,Yes participating without using any Provision or the CEO,828,16,0,29,144,589,48,2
NORCROSS HIGH SCHOOL,Georgia,1.30255E+11,1302550,Yes,Yes,5-Title I schoolwide school,33.967,-84.212,Yes participating without using any Provision or the CEO,2778,74,3,384,767,1405,141,4
NORMAN PARK ELEMENTARY SCHOOL,Georgia,1.30138E+11,1301380,Yes,Yes,5-Title I schoolwide school,31.269937,-83.692352,Yes under Community Eligibility Option (CEO),623,20,0,354,38,208,2,1
NORRIS ELEMENTARY SCHOOL,Georgia,1.30357E+11,1303570,Yes,Yes,5-Title I schoolwide school,33.477566,-82.490642,Yes under Community Eligibility Option (CEO),403,18,1,80,290,14,0,0
NORTH ATLANTA HIGH SCHOOL,Georgia,1.30012E+11,1300120,,No,6-Not a Title I school,33.8668,-84.4456,Yes participating without using any Provision or the CEO,2095,60,0,780,693,518,38,6
NORTH BROOKS ELEMENTARY SCHOOL,Georgia,1.30054E+11,1300540,Yes,Yes,5-Title I schoolwide school,30.9336,-83.5152,Yes under Community Eligibility Option (CEO),394,26,1,210,116,41,0,0
NORTH CLAYTON HIGH SCHOOL,Georgia,1.30123E+11,1301230,Yes,Yes,5-Title I schoolwide school,33.6091,-84.4394,Yes under Community Eligibility Option (CEO),1166,10,0,2,1002,127,24,1
NORTH CLAYTON MIDDLE SCHOOL,Georgia,1.30123E+11,1301230,Yes,Yes,5-Title I schoolwide school,33.6049,-84.4476,Yes under Community Eligibility Option (CEO),882,8,0,5,757,85,24,3
NORTH COBB HIGH SCHOOL,Georgia,1.30129E+11,1301290,,No,6-Not a Title I school,34.0398,-84.6477,Yes participating without using any Provision or the CEO,2758,136,2,911,999,562,141,7
